Sample ID,Sample Date,Beach Name,Sample Location,Enterococci Results,Units or Notes
082117KB10,2017-08-21,MIDLAND BEACH,Left,4,MPN/100 ml
062507GR12,2007-06-25,DANISH AMERICAN BEACH CLUB,Right,4,MPN/100 ml
061410GR16,2010-06-14,SEAGATE BEACH - 38TH STREET,Right,12,MPN/100 ml
062612GR19,2012-06-26,SEAGATE BEACH - 42ND STREET,Right,32,MPN/100 ml
072115GR07,2015-07-21,AMERICAN TURNERS,Left,4,MPN/100 ml
090611KB04,2011-09-06,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Left,76,MPN/100 ml
060607IM12,2007-06-06,WHITE CROSS FISHING CLUB,Right,4,MPN/100 ml
051606BH11,2006-05-16,SOUTH BEACH,Center,84,MPN/100 ml
060208BH09,2008-06-02,MIDLAND BEACH,Right,4,MPN/100 ml
061906IM22,2006-06-19,SCHUYLER HILL CIVIC ASSOCIATION,Left,4,MPN/100 ml
053012GR13,2012-05-30,MANHEM BEACH CLUB,Left,24,MPN/100 ml
050509KB10,2009-05-05,ORCHARD BEACH,Left,240,MPN/100 ml
081517KB08,2017-08-15,ORCHARD BEACH,Center,16,MPN/100 ml
081908BH02,2008-08-19,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Center,12,MPN/100 ml
070714CP05,2014-07-07,SI YMCA OF GREATER NEW YORK,Right,16,MPN/100 ml
053006IM21,2006-05-30,MANHEM BEACH CLUB,Right,116,MPN/100 ml
062910GR17,2010-06-29,SCHUYLER HILL CIVIC ASSOCIATION,Center,4,MPN/100 ml
083106GR03,2006-08-31,GERRITSEN/KIDDIE BEACH,Right,28,MPN/100 ml
042817CP07,2014-04-28,AMERICAN TURNERS,Left,8,MPN/100 ml
072705MR06,2005-07-27,KINGSBOROUGH COMMUNITY COLLEGE,Right,12,MPN/100 ml
082409SG06,2009-08-24,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Right,120,MPN/100 ml
072914KB10,2014-07-29,WEST FORDHAM STREET ASSOCIATION,Left,4,MPN/100 ml
061305EL09,2005-06-13,KINGSBOROUGH COMMUNITY COLLEGE,Right,44,MPN/100 ml
062810KB01,2010-06-28,SI YMCA OF GREATER NEW YORK,Left,4,MPN/100 ml
050108BH03,2008-05-01,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Right,4,MPN/100 ml
080706JR09,2006-08-07,MORRIS YACHT AND BEACH CLUB,Right,12,MPN/100 ml
080310KB06,2010-08-03,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Right,4,MPN/100 ml
090407GR09,2007-09-04,KINGSBOROUGH COMMUNITY COLLEGE,Right,8,MPN/100 ml
060513GR13,2013-06-05,MANHEM BEACH CLUB,Left,100,MPN/100 ml
050712GR01,2012-05-07,GERRITSEN/KIDDIE BEACH,Left,36,MPN/100 ml
